N_bulk,Avg_bulk,BCN_10,BCN_11,BCN_12,BCN_13,BCN_14,BCN_15,FCC,HCP,DECA,q6q6_avg_bulk,q6q6_B0,q6q6_B1,q6q6_B2,q6q6_B3,q6q6_B4,q6q6_B5,q6q6_B6,q6q6_B7,q6q6_B8,q6q6_B9,q6q6_B10,q6q6_B11,q6q6_B12,q6q6_B13,q6q6_B14
1014,12.5552,0,70,434,398,101,11,24,23,8,2.7535,356,197,112,70,41,42,29,29,27,30,17,25,30,7,2
1034,12.4952,4,73,470,389,90,8,30,35,7,2.9188,345,183,117,54,62,48,45,40,36,25,26,22,19,10,2
3365,12.3902,4,172,1898,1101,178,12,700,376,17,8.4074,163,167,134,141,129,133,150,168,212,224,236,281,959,247,21
5292,12.3027,35,191,3407,1445,204,7,1858,823,11,11.0017,42,39,41,43,63,70,87,112,193,204,285,489,2775,732,117
8508,12.2159,56,357,5993,1847,238,6,3575,1350,28,11.1281,43,39,70,77,64,89,112,169,307,317,429,645,5029,982,136
10768,12.1987,27,348,8125,1957,304,0,5019,1983,52,11.3879,33,43,54,59,67,75,106,165,338,312,399,704,6973,1219,221
11155,12.2091,18,310,8428,2119,280,0,5367,1972,49,11.5476,10,24,28,50,55,67,74,117,340,303,400,699,7419,1364,205
11304,12.1924,20,330,8669,2026,258,1,5441,2124,60,11.5116,15,16,47,46,46,62,95,134,354,303,427,704,7593,1280,182
11357,12.1859,15,318,8854,1883,285,2,5649,2117,61,11.5079,14,19,53,51,56,66,98,110,359,290,387,689,7767,1202,196
11389,12.1953,13,320,8760,2022,274,0,5607,2086,59,11.5006,18,24,57,44,51,69,87,131,361,321,366,681,7722,1268,189
966,12.499,2,62,432,400,63,6,25,44,8,3.853,199,159,99,77,78,70,49,57,39,36,39,25,29,10,0
974,12.5462,3,58,414,405,91,3,35,49,4,4.1622,178,164,96,70,66,76,68,44,43,32,60,36,34,6,1
3099,12.3324,10,136,1890,940,117,5,764,458,23,9.4802,97,70,66,79,101,90,88,162,194,189,211,294,1153,279,26
4675,12.2334,19,228,3207,1080,127,11,1420,974,59,9.9651,115,84,79,86,109,97,140,160,330,238,268,372,2143,420,34
7748,12.2283,45,344,5392,1701,254,5,2684,1541,97,10.3604,101,91,122,131,140,147,163,231,529,397,418,585,3881,706,106
9842,12.1729,50,404,7423,1704,249,7,4191,1998,114,10.8371,56,75,118,89,127,126,161,207,606,397,446,665,5804,826,139
10590,12.1642,35,319,8307,1701,220,2,4785,2351,127,11.0384,41,46,94,79,96,113,133,196,604,435,431,679,6701,819,123
10937,12.1633,27,352,8556,1777,216,2,4921,2445,129,11.0389,44,42,124,98,97,98,144,172,654,389,452,705,6870,918,130
11079,12.1687,29,329,8665,1830,220,1,5084,2493,122,11.0951,38,47,91,94,112,96,138,170,603,395,458,728,7057,913,139
11151,12.1603,31,356,8760,1776,223,0,5207,2422,121,11.0811,41,39,116,85,102,101,127,193,620,394,449,731,7145,876,132
919,12.4581,2,77,415,354,65,6,27,41,13,3.2383,258,150,106,76,58,59,44,33,32,21,20,29,29,4,0
923,12.4778,1,77,405,365,70,5,21,50,11,3.2644,240,167,108,87,63,45,40,39,31,21,18,20,33,8,3
2169,12.42,12,117,1127,776,135,2,431,225,4,9.266,105,65,66,58,57,60,68,98,113,130,145,218,679,263,44
2970,12.3189,10,93,1933,807,122,4,1056,500,6,11.1751,28,21,17,28,30,31,38,54,85,97,128,239,1626,476,72
4634,12.2523,24,195,3130,1136,141,3,1605,894,4,10.9838,79,44,41,32,42,45,71,78,125,165,215,391,2650,608,48
6743,12.105,62,333,5241,999,90,7,3141,1507,3,11.1943,72,31,32,55,48,50,70,92,144,198,317,516,4619,477,22
8289,12.0927,73,339,6638,1157,64,4,3912,2022,4,11.4867,19,24,22,24,33,38,65,96,133,220,358,666,5962,611,18
9696,12.0721,64,361,8095,1102,58,3,4794,2623,10,11.5526,16,11,27,24,40,58,66,112,157,200,328,625,7401,610,21
10490,11.9887,69,387,9622,384,20,1,5866,3392,0,11.7328,3,5,7,7,17,27,39,69,110,157,226,507,9124,189,3
10820,11.9695,55,400,10170,185,5,0,5998,3941,0,11.8049,2,3,5,4,6,6,22,57,66,114,246,465,9722,102,0
807,12.5143,4,73,328,319,73,9,8,5,2,1.4882,347,192,115,47,31,25,18,11,8,3,2,4,3,1,0
822,12.601,2,64,310,339,98,9,11,2,1,1.4659,350,210,108,59,27,18,16,7,9,8,1,3,6,0,0
1704,12.4906,6,125,736,701,130,5,91,66,14,4.8005,326,177,161,132,115,125,104,103,70,83,73,74,99,52,10
2092,12.4646,5,124,1001,824,132,6,247,219,26,7.3322,111,115,122,123,112,116,133,146,190,170,162,146,327,103,16
3021,12.4191,20,148,1580,1084,179,7,554,363,14,8.8355,148,118,97,104,103,126,110,143,161,187,226,271,852,321,54
4189,12.3103,17,174,2643,1199,147,7,1287,568,12,9.9322,95,101,96,98,107,96,123,132,164,210,243,388,1862,431,43
6148,12.2502,54,318,4018,1535,208,10,2082,912,10,10.1152,233,151,127,96,99,108,103,149,213,273,323,527,3048,638,60
7610,12.2307,37,300,5362,1685,213,10,3006,1359,13,11.1452,63,49,51,66,48,88,107,147,191,257,362,637,4483,955,106
8869,12.174,46,306,6708,1645,154,3,3870,1842,14,11.4746,25,20,24,35,42,63,83,98,196,245,370,703,5909,970,86
9691,12.1352,28,354,7694,1476,128,4,4558,2212,18,11.4696,32,22,34,37,67,74,78,104,168,271,336,648,6878,878,64
649,12.4499,10,58,277,238,60,5,18,17,6,2.8644,194,135,69,45,28,35,38,24,25,22,15,8,11,0,0
656,12.4649,4,56,290,246,57,3,30,35,2,3.221,187,103,59,57,51,41,43,22,25,26,14,10,18,0,0
1203,12.33,3,41,772,329,53,4,438,157,3,9.665,51,44,31,17,22,41,27,36,53,54,54,110,529,121,13
1568,12.1237,9,53,1263,215,21,5,772,368,20,10.7296,21,19,20,16,15,18,20,32,89,54,61,102,1025,71,5
2100,12.061,14,79,1791,191,19,4,1080,563,46,10.6571,30,20,35,26,15,28,25,30,171,67,59,110,1412,71,1
3126,12.0646,39,148,2549,326,53,5,1443,787,66,9.7889,149,100,75,46,51,47,43,48,256,109,92,151,1899,59,1
4056,12.0905,49,176,3245,516,61,5,1841,976,73,10.5173,41,43,71,45,54,60,58,84,322,190,176,273,2479,151,9
5408,12.0497,80,232,4452,566,61,4,2640,1377,105,10.6553,68,50,72,56,65,57,70,77,425,228,210,342,3509,170,9
6457,12.0455,79,293,5342,665,55,7,3189,1607,136,10.6853,56,63,97,66,85,74,85,104,541,207,225,366,4230,247,11
7627,12.0597,88,310,6269,855,75,5,3791,1854,149,10.841,43,68,104,85,104,73,74,93,546,262,257,466,5043,387,22
518,12.5154,5,39,221,197,49,7,1,3,4,1.166,229,144,71,32,15,11,9,3,4,0,0,0,0,0,0
530,12.6528,0,36,197,217,75,5,0,4,1,1.0264,247,156,57,31,24,9,4,1,0,1,0,0,0,0,0
940,12.4128,5,84,450,323,75,3,35,61,14,3.0926,253,169,121,80,61,48,37,48,36,27,13,18,23,5,1
1191,12.4509,3,62,603,446,72,5,131,154,21,6.6205,122,82,74,61,76,72,80,67,100,79,74,91,167,41,5
1724,12.4339,7,85,909,603,116,4,269,229,21,8.2042,111,79,57,65,72,70,88,101,112,134,111,187,386,132,19
2108,12.4032,4,75,1192,743,92,2,510,327,22,9.9943,19,31,35,49,50,44,82,85,164,130,139,236,754,263,27
2959,12.3227,18,103,1869,813,144,5,871,496,42,9.7874,132,81,51,65,54,49,76,85,210,134,166,221,1224,348,63
4008,12.2201,18,164,2825,881,105,6,1456,769,56,10.1472,66,58,76,89,83,76,88,127,298,171,209,336,1990,299,42
4769,12.2124,16,165,3492,972,121,1,2018,857,49,10.9052,25,34,44,44,51,53,86,104,260,197,229,385,2732,472,53
6007,12.1879,45,300,4275,1223,146,10,2324,1099,69,10.2227,149,105,111,91,102,119,124,169,369,236,282,410,3201,486,53
387,12.5504,5,37,142,150,49,4,0,3,1,1.0749,169,116,50,26,14,7,4,1,0,0,0,0,0,0,0
400,12.5175,2,36,163,155,40,4,3,2,0,0.9325,212,111,30,19,16,4,3,0,4,0,0,1,0,0,0
701,12.4864,1,40,339,262,56,3,56,49,3,4.9986,106,79,67,46,57,46,46,50,44,42,30,32,42,13,1
832,12.4772,1,47,395,333,55,1,116,55,2,7.8546,35,58,48,41,39,40,50,52,42,52,64,59,150,83,19
1133,12.5049,5,39,555,438,84,9,259,87,4,9.0891,74,47,35,25,35,27,38,47,52,63,63,81,360,154,32
1654,12.1892,11,59,1221,322,39,0,835,232,5,11.0865,18,13,6,11,11,21,20,23,46,76,77,122,1047,161,2
2160,12.1,16,89,1737,287,25,3,1328,282,3,11.5778,6,5,8,6,9,14,12,12,29,42,72,143,1627,170,5
3057,12.0713,38,165,2379,394,58,4,1702,409,3,10.5852,81,60,49,29,31,42,37,53,70,107,113,205,2069,103,8
4072,12.0361,55,198,3365,398,42,3,2391,696,23,10.9325,46,41,44,35,34,45,55,77,131,127,149,233,2909,143,3
5045,12.0004,55,250,4367,331,24,7,3135,956,22,11.3637,28,22,28,25,24,32,32,57,114,97,158,315,3970,142,1
313,12.4153,1,38,131,117,25,1,7,8,1,2.5495,110,52,37,24,21,20,10,10,3,9,8,7,2,0,0
348,12.4138,5,34,161,109,38,1,10,6,2,1.9971,123,88,38,27,18,12,17,8,5,6,1,4,1,0,0
606,12.4554,3,39,288,232,43,1,52,52,10,5.9934,104,48,43,31,27,28,31,34,41,42,38,45,72,20,2
768,12.4219,2,30,423,269,43,1,131,129,16,8.4219,24,26,28,27,39,41,28,47,82,55,70,70,178,52,1
912,12.3761,4,38,518,305,45,0,176,174,12,8.8629,27,40,23,18,35,32,41,49,78,65,88,100,251,57,8
1127,12.3363,4,38,711,323,45,5,243,229,32,8.3487,46,45,41,44,52,43,57,69,94,97,78,101,301,52,7
1510,12.4,4,53,879,484,85,2,251,299,38,8.3834,83,52,78,40,56,61,69,73,167,90,93,122,394,117,15
2008,12.3312,9,91,1237,567,99,4,410,398,43,8.6091,83,90,68,83,79,70,87,83,181,136,128,146,600,151,23
2897,12.3548,12,117,1757,861,142,8,730,466,40,9.4726,107,73,81,73,57,88,102,124,204,165,164,254,1033,315,57
3448,12.3852,16,121,2038,1043,221,4,877,598,38,10.2433,84,62,64,55,60,75,69,101,219,169,188,279,1412,492,119
238,12.5378,6,23,78,96,32,2,0,0,2,1.0546,122,56,28,12,10,6,1,1,1,0,0,0,1,0,0
261,12.4866,3,25,94,103,29,3,0,1,1,1.0077,139,63,21,16,11,6,1,3,0,1,0,0,0,0,0
434,12.5023,0,30,191,178,35,0,18,30,5,4.5369,75,49,51,36,25,28,41,21,25,19,26,16,16,6,0
529,12.3365,0,17,341,151,17,2,111,106,14,8.0397,30,20,30,23,26,12,30,31,61,25,28,32,155,26,0
808,12.3069,1,22,551,199,32,3,214,195,30,8.948,22,19,25,19,35,33,31,36,101,60,48,60,277,39,3
914,12.3282,3,33,596,229,49,4,244,196,28,9.4442,16,15,31,18,26,29,32,37,113,64,46,85,314,74,14
1220,12.3066,12,52,757,347,47,4,270,247,35,8.7221,53,54,52,36,35,48,42,42,125,78,68,93,388,96,10
1439,12.1689,3,69,1079,260,26,2,474,390,51,9.5309,26,27,47,32,44,39,37,57,161,78,67,128,616,74,6
1742,12.1544,8,78,1330,292,31,3,648,467,55,9.9466,37,28,44,34,27,27,37,47,198,98,69,117,860,114,5
2674,12.1556,14,116,2031,466,47,0,1036,677,67,10.0707,34,32,76,29,65,54,47,54,298,132,128,209,1394,119,3
96,12.6875,2,3,34,37,18,1,0,0,0,0.8958,45,31,11,6,1,1,1,0,0,0,0,0,0,0,0
118,12.6949,2,13,26,56,20,1,1,1,0,0.9492,63,29,12,6,4,2,1,0,0,1,0,0,0,0,0
382,12.4712,3,18,181,156,24,0,48,35,3,7.466,14,20,27,22,20,27,19,26,32,32,33,18,68,23,1
472,12.1992,0,3,375,91,3,0,229,119,0,11.8051,1,0,0,0,1,1,1,2,5,7,11,38,354,50,1
668,12.1572,4,21,522,108,13,0,343,112,1,10.8518,13,11,7,1,6,8,10,16,10,21,26,48,456,34,1
942,12.2081,3,32,703,178,22,4,419,184,3,10.3705,33,25,19,8,11,11,13,14,32,34,33,65,574,68,2
1112,12.0701,6,47,936,110,12,1,455,401,13,10.8831,14,10,13,12,7,8,11,13,65,33,42,79,767,37,1
1513,12.0965,13,62,1229,179,29,0,556,556,10,10.7026,29,21,20,14,21,22,11,19,63,53,60,103,1022,51,4
1840,12.1049,8,83,1482,229,32,3,761,569,13,10.8908,32,16,18,25,10,18,25,20,64,60,77,117,1275,79,4
2185,12.1227,15,83,1734,320,26,4,919,638,18,11.1368,16,20,21,18,9,14,18,24,92,60,83,166,1477,158,9
1009,12.4648,3,90,449,379,78,10,20,25,11,2.4182,349,215,115,69,62,34,42,29,27,15,22,17,12,1,0
1039,12.5486,6,78,415,424,113,2,17,22,7,2.4177,349,228,99,87,60,53,41,32,26,27,15,16,5,1,0
3381,12.4185,7,231,1706,1227,197,13,282,321,13,6.1881,445,328,262,200,197,181,161,173,164,186,199,196,510,158,21
5484,12.405,24,278,2928,1935,301,11,855,687,7,8.9034,206,213,175,155,202,246,245,265,298,324,414,557,1586,536,62
8626,12.2819,39,452,5483,2318,322,6,2570,1386,5,10.6093,97,97,103,119,134,144,188,253,337,432,514,817,4219,1046,126
10755,12.2391,16,356,7715,2377,290,1,4192,2122,7,11.2176,64,57,75,88,93,113,131,181,253,343,457,843,6632,1304,121
11091,12.1993,12,370,8331,2157,216,5,4410,2478,6,11.2607,48,65,57,66,87,95,157,210,229,349,485,832,7130,1189,92
11224,12.2059,15,329,8460,2174,243,2,4580,2479,3,11.381,41,48,59,59,70,74,125,172,218,306,498,821,7352,1274,107
11288,12.1761,16,336,8749,2021,163,3,4820,2562,6,11.4367,27,29,40,60,67,85,103,158,229,348,430,769,7665,1204,74
11347,12.1725,6,340,8848,1999,152,2,4843,2670,5,11.4722,21,35,43,50,52,83,107,143,228,308,451,727,7826,1199,74
962,12.5249,5,72,402,388,87,7,27,32,9,3.5676,243,172,104,99,52,46,39,33,22,31,25,33,39,20,4
970,12.5505,2,62,412,395,92,7,32,27,6,3.4794,251,198,113,73,42,33,44,35,22,38,24,43,43,11,0
3072,12.2243,9,124,2202,644,86,6,1009,731,15,10.9867,22,28,25,18,28,31,55,71,115,127,147,264,1780,326,35
4545,12.0854,31,184,3743,518,50,11,2172,1182,33,11.0345,73,43,32,22,35,34,58,48,186,109,147,301,3219,225,13
7412,12.0374,66,339,6220,699,61,3,3883,1772,44,11.2941,38,25,38,31,39,42,59,86,289,194,277,516,5437,326,15
9852,12.0113,77,380,8673,664,28,2,6056,2069,61,11.5532,24,14,47,27,25,21,45,53,298,183,251,521,7953,381,9
10624,12.0346,37,354,9432,763,27,2,6737,2203,63,11.6325,11,17,44,23,36,31,41,49,286,129,204,482,8798,467,6
10942,12.0337,44,339,9752,774,23,1,7008,2272,58,11.6627,3,10,43,23,26,26,28,48,302,157,212,479,9119,460,6
11067,12.0352,33,307,9970,727,24,1,7131,2301,57,11.6586,19,9,35,22,28,34,39,44,277,127,204,504,9315,406,4
11135,12.0401,32,314,9978,788,20,1,7221,2220,62,11.678,16,12,38,28,29,23,23,50,275,132,178,513,9306,508,4
