N_surface,S_100,S_111,S_110,S_311,Avg_surf,q6q6_avg_surf,target
585,0,81,119,0,8.788,2.1026,-5908.6345
608,0,65,81,1,8.6513,1.8783,-6035.4034
1272,4,204,168,24,8.7303,4.3813,-17330.166
1897,8,178,246,46,8.5778,5.525,-26937.201
2496,18,204,269,57,8.5533,5.5505,-41427.901
2607,19,261,312,125,8.5946,6.654,-50687.666
2640,33,297,387,117,8.6239,7.1674,-52334.79
2643,36,308,355,122,8.608,7.1771,-52912.315
2663,41,324,358,129,8.6012,7.1915,-53212.132
2667,38,314,384,130,8.6344,7.1969,-53347.803
568,0,72,110,3,8.7324,2.4331,-5661.4037
585,0,71,86,1,8.7145,2.2838,-5740.2743
1257,2,145,185,30,8.681,4.3954,-16265.084
1875,6,146,260,43,8.5456,4.4912,-24468.58
2427,17,202,280,59,8.5707,4.9403,-38240.16
2551,16,260,295,83,8.577,5.9322,-46845.861
2617,20,282,360,115,8.6446,6.6561,-50040.109
2606,21,302,380,98,8.6301,6.6769,-51345.044
2634,34,330,354,146,8.6298,6.8326,-52018.574
2640,23,371,377,137,8.6398,6.8936,-52325.664
544,0,61,69,5,8.7004,2.0772,-5385.6521
555,0,71,79,3,8.6973,2.2,-5436.9417
1052,2,115,162,18,8.6454,4.2586,-11968.408
1322,8,147,211,41,8.5802,5.5068,-16023.221
1970,4,218,244,35,8.5893,5.2137,-24663.862
2458,18,202,275,52,8.4378,5.5073,-34498.503
2574,24,230,309,96,8.4911,6.2607,-40934.389
2593,34,250,298,135,8.4801,6.5569,-46503.624
2649,28,231,254,156,8.4081,6.994,-49851.304
2669,33,260,291,205,8.4301,7.242,-51252.763
532,0,44,72,0,8.7237,1.3553,-4905.1123
525,0,45,71,1,8.6971,1.4838,-4947.3974
889,1,68,105,8,8.6434,1.901,-9587.7687
986,5,143,143,17,8.712,4.1836,-11445.364
1417,6,195,215,16,8.6478,4.3557,-16507.081
1725,9,207,237,31,8.6539,4.713,-22093.63
2310,7,237,311,39,8.5688,4.9636,-31664.589
2424,15,263,299,63,8.6015,5.9361,-37764.273
2549,8,283,310,89,8.5763,6.5131,-43093.455
2634,17,310,347,127,8.5573,6.6409,-46612.003
469,2,27,68,3,8.5203,1.4478,-4069.547
469,1,42,74,1,8.5864,1.7207,-4118.9404
741,2,98,112,8,8.5735,4.0175,-7182.1526
946,14,115,123,25,8.3784,5.2178,-9303.1939
1197,8,148,176,42,8.4444,5.6608,-12242.025
1770,13,177,260,49,8.4599,4.6893,-18175.428
1939,11,237,324,42,8.5111,5.608,-22358.967
2320,25,212,297,72,8.4453,5.5293,-28904.787
2722,27,302,353,90,8.4541,5.8549,-34342.547
2850,27,281,355,96,8.4811,5.8126,-39319.989
424,0,22,57,1,8.5071,1.1085,-3417.0236
416,0,28,60,1,8.6683,1.1635,-3452.0799
634,0,66,89,5,8.6562,1.7271,-5779.1916
708,0,121,124,6,8.7246,3.5099,-7020.3982
1036,2,120,152,14,8.6274,3.5405,-10193.892
1083,1,158,152,25,8.615,5.0416,-11860.212
1531,3,188,230,39,8.5101,4.7805,-16666.452
1825,12,222,238,43,8.6104,5.1178,-21760.129
1957,17,219,248,57,8.5861,5.9504,-25184.299
2243,11,257,296,50,8.556,5.1467,-30911.237
365,0,20,52,2,8.5233,0.7397,-2717.5932
381,0,16,61,1,8.4908,0.8688,-2829.3251
521,1,68,86,2,8.6545,2.5873,-4484.0577
542,0,110,84,3,8.7177,4.6218,-5066.7008
850,4,121,119,18,8.4871,3.7835,-7269.4476
1031,11,153,181,33,8.4743,5.8244,-9938.8966
1248,17,170,146,49,8.4183,6.4487,-12649.268
1741,20,192,212,56,8.4342,5.4549,-17796.604
2148,21,266,277,75,8.452,5.8934,-23142.459
2313,25,265,263,96,8.4254,6.3528,-27501.891
330,0,25,59,1,8.4545,1.3758,-2316.924
353,0,17,45,1,8.3229,1.068,-2526.7627
467,2,69,78,4,8.5867,3.0493,-3929.6183
550,0,139,108,3,8.6509,5.2509,-4855.3812
642,1,105,101,6,8.5249,4.6994,-5717.1143
800,0,111,143,14,8.5312,3.8813,-7093.0871
1009,1,131,141,22,8.5728,4.1298,-9284.6979
1119,4,204,174,12,8.6443,4.4102,-11597.026
1532,5,247,212,36,8.6384,5.0065,-16454.961
